Model,Accuracy,Macro F1,Balanced Acc,Cohen's Kappa,ROC-AUC (macro)
baseline,0.8182576652993117,0.8221840168393979,0.8224911672316282,0.7991100652172147,0.9805128755729159
rubert,0.9265600556231531,0.9269729890273891,0.9292594673562617,0.9188586153904812,0.996688154664352
rubert_tiny,0.8574656700851729,0.8602009825799293,0.8703872635046146,0.8428182927929975,0.9939755892927136
